img x1 y1 x2 y2
1 0 143 370 486
2 20 208 582 559
3 2 110 243 410
4 0 237 286 536
5 8 28 761 585
6 0 38 369 310
7 0 162 383 450
8 80 31 776 454
9 2 226 270 470
10 71 16 478 328
12 94 150 669 567
13 0 109 344 480
14 0 337 240 600
17 0 33 414 486
18 267 158 470 357
19 352 135 500 326
20 0 154 457 542
21 8 5 456 285
22 310 200 500 375
23 0 62 252 250
24 0 146 640 547
25 228 270 449 480
26 255 125 466 292
27 355 23 594 239
28 11 135 180 263
29 1 1 564 480
30 7 87 203 250
31 12 230 233 399
33 10 133 217 318
34 76 41 516 448
35 268 130 487 351
36 36 25 430 345
37 266 18 448 224
38 270 240 437 382
39 4 128 480 694
41 0 80 396 434
42 0 0 636 473
44 42 11 450 355
45 43 16 400 353
50 195 181 493 400
51 0 0 500 375
52 198 57 500 343
53 0 0 432 425
58 0 164 302 468
59 354 169 640 420
60 0 9 800 600
61 0 122 228 315
62 0 77 372 300
63 0 135 334 493
64 0 0 600 450
65 0 155 281 457
66 0 39 640 737
67 0 0 640 480
68 0 0 513 346
69 8 12 431 315
70 0 0 480 360
71 47 0 800 600
72 0 218 362 569
73 113 82 668 482
74 78 61 710 593
75 96 0 800 600
76 80 18 783 584
77 20 63 710 600
78 29 1 772 600
79 67 0 728 542
80 52 10 759 600
81 10 169 276 404
85 48 249 302 464
87 0 221 252 454
88 49 307 340 560
89 30 284 363 582
90 30 300 346 578
91 111 288 414 524
92 42 321 337 584
93 37 236 331 517
96 29 266 366 549
97 89 278 394 568
98 16 152 304 404
